Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
11,Out,11,22,50,2,0,3,5,v Australia,Mohali,Home,19-Oct-13,81.8,18,4,10,5,0.681818182,,2.75,3,0.272727273,Loss,303,1,Dead/Flat,1,Overcast,1.977469866,21.75216852
9*,Not Out,9,13,69.23,1,0,3,5,v Australia,Ranchi,Home,23-Oct-13,69.2,9,4,11,1,0.923076923,,2.25,5,0.555555556,No Result,27,1,Green,2,Overcast,2.517023174,22.65320856
79,Out,79,89,88.76,7,3,3,5,v Australia,Nagpur,Home,30-Oct-13,52.8,47,42,72,0,0.808988764,,1.880952381,33,0.417721519,Win,351,1,Dead/Flat,1,Clear,2.24563597,177.4052416
209,Out,209,158,132.27,12,16,3,5,v Australia,Bengaluru,Home,02-Nov-13,46.8,74,84,,,0.87,0.87,2.488095238,65,0.311004785,Win,383,1,Dusty/Dry,1.5,Overcast,2.386910854,498.8643684
72,Out,72,81,88.88,8,1,7,3,v West Indies,Kochi,Home,21-Nov-13,50.6,41,40,68,0,0.839506173,0.86,1.8,34,0.472222222,Win,212,1,Dead/Flat,1,Sunny,2.315223375,166.696083
12,Out,12,19,63.15,3,0,7,3,v West Indies,Visakhapatnam,Home,24-Nov-13,84.2,16,3,5,8,0.684210526,,4,0,0,Loss,288,1,Green,2,Clear,1.982206317,23.78647581
4,Out,4,14,28.57,0,0,7,3,v West Indies,Kanpur,Home,27-Nov-13,71.4,10,4,5,6,0.785714286,,1,4,1,Win,256,1,Dead/Flat,1,Clear,2.193973506,8.775894023
18,Out,18,43,41.86,2,0,4,4,v South Africa,Johannesburg,Away,05-Dec-13,74.4,32,11,10,13,0.534883721,,1.636363636,10,0.555555556,Loss,217,1,Green,2,Clear,1.707249713,30.73049484
19,Out,19,26,73.07,2,0,4,4,v South Africa,Durban,Away,08-Dec-13,61.5,16,10,15,5,0.769230769,,1.9,11,0.578947368,Loss,146,1,Dry,1.5,Windy,2.158105533,41.00400514
TDNB,,,,,,,4,4,v South Africa,Centurion,Away,11-Dec-13,,,,,,,,,,,No Result,,,Dead/Flat,1,Overcast,,
3,Out,3,23,13.04,0,0,8,3,v New Zealand,Napier,Away,19-Jan-14,87,20,3,14,2,0.695652174,,1,3,1,Loss,268,1,Dead/Flat,1,Clear,2.005016267,6.015048801
20,Out,20,34,58.82,2,1,8,3,v New Zealand,Hamilton,Away,22-Jan-14,73.5,25,9,25,2,0.794117647,,2.222222222,6,0.3,Loss,277,2,Green,2,Overcast,2.21248794,44.2497588
39,Out,39,38,102.63,1,4,8,3,v New Zealand,Auckland,Away,25-Jan-14,63.2,24,14,27,1,0.736842105,,2.785714286,11,0.282051282,Draw,314,1,Dead/Flat,1,Clear,2.08932721,81.48376118
79,Out,79,94,84.04,6,4,8,3,v New Zealand,Hamilton,Away,28-Jan-14,57.4,54,40,75,9,0.893617021,,1.975,31,0.392405063,Loss,278,1,Green,2,Clear,2.443953515,193.0723277
4,Out,4,13,30.76,0,0,8,3,v New Zealand,Wellington,Away,31-Jan-14,76.9,10,3,10,1,0.846153846,,1.333333333,4,1,Loss,216,1,Green,2,Clear,2.330665493,9.322661971
21,Out,21,29,72.41,1,1,9,3,v Bangladesh,Fatullah,Away,26-Feb-14,55.2,16,13,24,2,0.896551724,,1.615384615,11,0.523809524,Win,280,1,Dead/Flat,1,Sunny,2.451136327,51.47386287
13,Out,13,28,46.42,1,0,5,4,v Sri Lanka,Fatullah,Neutral,28-Feb-14,67.9,19,9,21,1,0.785714286,,1.444444444,9,0.692307692,Loss,264,1,Dusty/Dry,1.5,Sunny,2.193973506,28.52165557
56,Out,56,58,96.55,7,2,6,4,v Pakistan,Mirpur,Neutral,02-Mar-14,58.6,34,24,51,2,0.913793103,,2.333333333,16,0.285714286,Loss,245,1,Dead/Flat,1,Sunny,2.493763719,139.6507683
18*,Not Out,18,24,75,1,0,12,2,v Afghanistan,Mirpur,Neutral,05-Mar-14,41.7,10,14,19,1,0.833333333,,1.285714286,14,0.777777778,Win,160,3,Dead/Flat,1,Sunny,2.30097589,41.41756602
52,Out,52,87,59.77,4,1,5,4,v England,Cardiff,Away,27-Aug-14,62.1,54,33,68,4,0.827586207,,1.575757576,30,0.576923077,Win,303,1,Dusty/Dry ,1.5,Overcast,2.287789819,118.9650706
264,Out,264,173,152.6,33,9,2,5,v Sri Lanka,Kolkata,Home,13-Nov-14,33.5,58,115,,,0.87,0.87,2.295652174,78,0.295454545,Win,404,2,Dusty/Dry,1.5,Clear,2.386910854,630.1444653
9,Out,9,12,75,2,0,2,5,v Sri Lanka,Ranchi,Home,16-Nov-14,75,9,3,7,1,0.666666667,,3,1,0.111111111,Win,288,2,Dusty/Dry,1.5,Clear,1.947734042,17.52960638
138,Out,138,139,99.28,9,4,1,5,v Australia,Melbourne,Away,18-Jan-15,43.2,60,79,,,0.89,0.89,1.746835443,78,0.565217391,Loss,267,1,Dead/Flat,1,Clear,2.435129651,336.0478919
15,Out,15,20,75,2,0,6,4,v Pakistan,Adelaide,Neutral,15-Feb-15,60,12,8,12,5,0.85,,1.875,7,0.466666667,Win,300,1,Dead/Flat,1,Sunny,2.339646852,35.09470278
0,Out,0,6,0,0,0,4,4,v South Africa,Melbourne,Neutral,22-Feb-15,100,6,0,3,2,0.833333333,,0,0,0,Win,307,1,Green,2,Clear,2.30097589,0
57*,Not Out,57,55,103.63,10,1,,1,v U.A.E.,Perth,Neutral,28-Feb-15,60,33,22,43,6,0.890909091,0.89,2.590909091,11,0.192982456,Win,104,1,Green,2,Clear,2.437344412,138.9286315
7,Out,7,18,38.88,1,0,8,3,v West Indies,Perth,Neutral,06-Mar-15,77.8,14,4,12,5,0.944444444,,1.75,3,0.428571429,Win,125,1,Green,2,Sunny,2.571384434,17.99969104
64,Out,64,66,96.96,3,3,11,2,v Ireland,Hamilton,Neutral,10-Mar-15,47,31,35,60,0,0.909090909,,1.828571429,34,0.53125,Win,260,1,Dusty/Dry,1.5,Sunny,2.482065084,158.8521654
16,Out,16,21,76.19,2,0,10,2,v Zimbabwe,Auckland,Neutral,14-Mar-15,61.9,13,8,17,0,0.80952381,,2,8,0.5,Win,288,1,Green,2,Sunny,2.24683781,35.94940496
137,Out,137,126,108.73,14,3,9,3,v Bangladesh,Melbourne,Neutral,19-Mar-15,42.1,53,73,,,0.87,0.87,1.876712329,63,0.459854015,Win,302,1,Dead/Flat,1,Sunny,2.386910854,327.0067869
34,Out,34,48,70.83,1,2,1,5,v Australia,Sydney,Away,26-Mar-15,64.6,31,17,37,3,0.833333333,,2,18,0.529411765,Loss,233,1,Dead/Flat,1,Clear,2.30097589,78.23318026
63,Out,63,68,92.64,4,1,7,3,v Bangladesh,Mirpur,Away,18-Jun-15,47.1,32,36,,,0.81,0.81,1.75,41,0.650793651,Loss,228,1,Dead/Flat,1,Overcast,2.247907987,141.6182032
0,Out,0,2,0,0,0,7,3,v Bangladesh,Mirpur,Away,21-Jun-15,100,2,0,1,0,0.5,,0,0,0,Loss,200,1,Dead/Flat,1,Overcast,1.648721271,0
29,Out,29,29,100,2,1,7,3,v Bangladesh,Mirpur,Away,24-Jun-15,58.6,17,12,25,1,0.896551724,,2.416666667,15,0.517241379,Win,317,1,Dusty/Dry,1.5,Overcast,2.451136327,71.08295349
150,Out,150,133,112.78,13,6,4,4,v South Africa,Kanpur,Home,11-Oct-15,41.4,55,78,,,0.92,0.92,1.923076923,62,0.413333333,Loss,297,1,Dead/Flat,1,Clear,2.50929039,376.3935585
3,Out,3,10,30,0,0,4,4,v South Africa,Indore,Home,14-Oct-15,80,8,2,4,4,0.8,,1.5,3,1,Win,247,1,Dead/Flat,1,Clear,2.225540928,6.676622785
65,Out,65,74,87.83,7,2,4,4,v South Africa,Rajkot,Home,18-Oct-15,59.5,44,30,61,4,0.878378378,,2.166666667,25,0.384615385,Loss,252,1,Dead/Flat,1,Clear,2.406993307,156.4545649
21,Out,21,19,110.52,4,0,4,4,v South Africa,Chennai,Home,22-Oct-15,52.6,10,9,16,2,0.947368421,,2.333333333,5,0.238095238,Win,299,1,Dusty/Dry,1.5,Sunny,2.578914106,54.15719622
16,Out,16,20,80,3,0,4,4,v South Africa,Mumbai,Home,25-Oct-15,75,15,5,13,0,0.65,,3.2,4,0.25,Loss,224,1,Dead/Flat,1,Clear,1.915540829,30.64865326
171*,Not Out,171,163,104.9,13,7,1,5,v Australia,Perth,Away,12-Jan-16,47.2,77,86,,,0.83,0.83,1.988372093,77,0.450292398,Loss,309,1,Green,2,Overcast,2.29331874,392.1575046
124,Out,124,127,97.63,11,3,1,5,v Australia,Brisbane,Away,15-Jan-16,46.5,59,68,,,0.85,0.85,1.823529412,62,0.5,Loss,308,1,Green,2,Clear,2.339646852,290.1162096
6,Out,6,11,54.54,0,0,1,5,v Australia,Melbourne,Away,17-Jan-16,54.5,6,5,8,1,0.818181818,,1.2,6,1,Loss,296,1,Dusty/Dry,1.5,Clear,2.266375406,13.59825244
41,Out,41,25,164,2,3,1,5,v Australia,Canberra,Away,20-Jan-16,40,10,15,24,0,0.96,,2.733333333,15,0.365853659,Loss,348,1,Dead/Flat,1,Sunny,2.611696473,107.0795554
99,Out,99,108,91.66,9,1,1,5,v Australia,Sydney,Away,23-Jan-16,47.2,51,57,91,1,0.851851852,,1.736842105,57,0.575757576,Win,331,1,Green,2,Overcast,2.343983546,232.054371
14,Out,14,26,53.84,1,1,2,5,v New Zealand,Dharamsala,Home,16-Oct-16,80.8,21,5,18,5,0.884615385,,2.8,4,0.285714286,Win,194,1,Dusty/Dry,1.5,Clear,2.422052655,33.90873716
15,Out,15,27,55.55,1,1,2,5,v New Zealand,Delhi,Home,20-Oct-16,77.8,21,6,24,0,0.888888889,,2.5,5,0.333333333,Loss,236,1,Dusty/Dry,1.5,Clear,2.432425455,36.48638182
