Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
87,Out,87,98,88.77,8,0,5,4,v England,Cardiff,Away,06-Jun-17,49,48.02,49.98,,,0.76,0.76,1.740696279,55,0.632183908,Loss,223,3,Dead/Flat,1,Windy,2.13827622,186.0300311
57,Out,57,69,82.6,5,0,7,3,v Bangladesh,Cardiff,Neutral,09-Jun-17,44.9,30.981,38.019,55,2,0.826086957,,1.499250375,37,0.649122807,Loss,265,3,Green,2,Clear,2.28436242,130.2086579
6,Out,6,8,75,0,0,3,5,v India,Wankhede,Away,22-Oct-17,25,2,6,7,0,0.875,,1,6,1,Win,284,3,Dead/Flat,1,Sunny,2.398875294,14.39325176
3,Out,3,14,21.42,0,0,3,5,v India,Pune,Away,25-Oct-17,85.7,11.998,2.002,8,0,0.571428571,,1.498501499,3,1,Loss,230,3,Dead/Flat,1,Clear,1.770794952,5.312384856
64,Out,64,84,76.19,8,0,3,5,v India,Kanpur,Away,29-Oct-17,54.8,46.032,37.968,75,0,0.892857143,,1.685630004,32,0.5,Loss,331,3,Dead/Flat,1,Sunny,2.442097114,156.2942153
38,Out,38,45,84.44,5,0,9,3,v West Indies,Whangarei,Home,20-Dec-17,53.3,23.985,21.015,37,0,0.822222222,,1.808232215,18,0.473684211,Win,249,3,Dead/Flat,1,Clear,2.275551003,86.47093811
115,Out,115,117,98.29,8,1,8,3,v Pakistan,Wellington,Home,06-Jan-18,37.6,43.992,73.008,,,0.88,0.88,1.575169844,77,0.669565217,Win,315,3,Green,2,Sunny,2.410899706,277.2534662
19,Out,19,28,67.85,2,0,8,3,v Pakistan,Nelson,Home,09-Jan-18,71.4,19.992,8.008,22,2,0.857142857,,2.372627373,11,0.578947368,Win,151,3,Dead/Flat,1,Clear,2.356418442,44.7719504
73,Out,73,101,72.27,7,0,8,3,v Pakistan,Dunedin,Home,13-Jan-18,55.4,55.954,45.046,,,0.88,0.88,1.620565644,45,0.616438356,Win,257,3,Green,2,Clear,2.410899706,175.9956785
32,Out,32,54,59.25,1,0,8,3,v Pakistan,Hamilton,Home,16-Jan-18,50,27,27,46,0,0.851851852,,1.185185185,28,0.875,Win,263,3,Dead/Flat,1,Overcast,2.343983546,75.00747347
