Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
1,Out,1,9,11.11,0,0,3,5,v India,Kolkata,Away,21-Sep-17,50,5,4,1,4,0.555555556,,0.25,1,1,Loss,202,2,Green,2,Clear,1.742908999,1.742908999
42,Out,42,44,95.45,4,1,3,5,v India,Indore,Away,24-Sep-17,43.2,19,25,37,0,0.840909091,,1.68,20,0.476190476,Loss,293,1,Dead/Flat,1,Sunny,2.318473723,97.37589635
124,Out,124,119,104.2,12,4,3,5,v India,Bengaluru,Away,28-Sep-17,64,76,43,,,0.84,0.84,2.88372093,52,0.419354839,Win,334,2,Dead/Flat,1,Overcast,2.316366977,287.2295051
53,Out,53,62,85.48,5,0,3,5,v India,Nagpur,Away,01-Oct-17,43.5,27,35,54,0,0.870967742,,1.514285714,33,0.622641509,Loss,242,1,Dead/Flat,1,Clear,2.389221885,126.6287599
2,Out,2,5,40,0,0,5,4,v England,Melbourne,Home,14-Jan-18,80,4,1,2,0,0.4,,2,2,1,Loss,304,2,Dead/Flat,1,Clear,1.491824698,2.983649395
35,Out,35,40,87.5,5,0,5,4,v England,Brisbane,Home,19-Jan-18,57.5,23,17,33,1,0.85,,2.058823529,15,0.428571429,Loss,270,1,Green,2,Clear,2.339646852,81.88763982
8,Out,8,10,80,2,0,5,4,v England,Sydney,Home,21-Jan-18,80,8,2,7,1,0.8,,4,0,0,Loss,286,2,Dead/Flat,1,Clear,2.225540928,17.80432743
13,Out,13,11,118.18,2,0,5,4,v England,Adelaide,Home,26-Jan-18,63.6,7,4,7,1,0.727272727,,3.25,5,0.384615385,Win,197,1,Green,2,Clear,2.069429007,26.90257709
15,Out,15,11,136.36,2,0,5,4,v England,Perth,Home,28-Jan-18,45.5,5,6,8,1,0.818181818,,2.5,7,0.466666667,Loss,247,1,Green,2,Clear,2.266375406,33.99563109
89*,Out,89,114,78.07,8,0,10,2,v Afghanistan,Bristol,Neutral,01-Jun-19,52.6,60,54,,,0.87,0.87,1.648148148,57,0.640449438,Win,209,2,Green,2,Clear,2.386910854,212.435066
3,Out,3,8,37.5,0,0,8,3,v West Indies,Nottingham,Neutral,06-Jun-19,62.5,5,3,6,0,0.75,,1,3,1,Win,288,1,Dusty/Dry ,1.5,Clear,2.117000017,6.35100005
56,Out,56,84,66.66,5,0,2,5,v India,The Oval,Neutral,09-Jun-19,57.1,48,36,63,4,0.797619048,,1.555555556,36,0.642857143,Loss,316,1,Dead/Flat,1,Clear,2.220248326,124.3339062
107,Out,107,111,96.39,11,1,6,4,v Pakistan,Taunton,Neutral,12-Jun-19,46.8,52,59,,,0.74,0.74,1.813559322,57,0.53271028,Win,307,2,Green,2,Overcast,2.095935514,224.2651001
26,Out,26,48,54.16,2,0,9,3,v Sri Lanka,The Oval,Neutral,15-Jun-19,66.7,32,16,38,4,0.875,,1.625,18,0.692307692,Win,334,1,Green,2,Overcast,2.398875294,62.37075764
166,Out,166,147,112.92,14,5,7,3,v Bangladesh,Nottingham,Neutral,20-Jun-19,41.5,61,86,,,0.78,0.78,1.930232558,80,0.481927711,Win,381,1,Dead/Flat,1,Clear,2.181472265,362.1243961
53,Out,53,61,86.88,6,0,1,5,v England,Lord's,Neutral,25-Jun-19,59,36,25,46,4,0.819672131,,2.12,29,0.547169811,Win,285,2,Green,2,Sunny,2.269755533,120.2970433
16,Out,16,23,69.56,3,0,4,4,v New Zealand,Lord's,Neutral,29-Jun-19,73.9,17,6,14,2,0.695652174,,2.666666667,4,0.25,Win,243,1,Green,2,Clear,2.005016267,32.08026027
122,Out,122,117,104.27,15,2,3,5,v South Africa,Manchester,Neutral,06-Jul-19,47,55,62,,,0.76,0.76,1.967741935,50,0.409836066,Loss,315,1,Dusty/Dry,1.5,Overcast,2.13827622,260.8696989
9,Out,9,11,81.81,2,0,1,5,v England,Birmingham,Neutral,11-Jul-19,72.7,8,3,8,1,0.818181818,,3,1,0.111111111,Loss,223,1,Dead/Flat,1,Overcast,2.266375406,20.39737866
128*,Not Out,128,112,114.28,17,3,2,5,v India,Wankhede,Away,14-Jan-20,50.9,57,55,,,0.87,0.87,2.327272727,42,0.328125,Win,258,1,Dead/Flat,1,Overcast,2.386910854,305.5245893
15,Out,15,12,125,2,0,2,5,v India,Rajkot,Away,17-Jan-20,50,6,6,9,0,0.75,,2.5,7,0.466666667,Loss,304,1,Dead/Flat,1,Sunny,2.117000017,31.75500025
3,Out,3,7,42.85,0,0,2,5,v India,Bengaluru,Away,19-Jan-20,57.1,4,3,4,0,0.571428571,,1,3,1,Loss,286,1,Dusty/Dry ,1.5,Sunny,1.770794952,5.312384855
25,Out,25,27,92.59,3,0,3,5,v South Africa,Paarl,Away,29-Feb-20,44.4,12,15,22,0,0.814814815,,1.666666667,13,0.52,Loss,217,1,Green,2,Clear,2.258757346,56.46893364
35,Out,35,23,152.17,4,1,3,5,v South Africa,Bloemfontein,Away,04-Mar-20,34.8,8,15,21,,0.913043478,,2.333333333,13,0.371428571,Loss,271,1,Green,2,Clear,2.491895032,87.21632612
4,Out,4,9,44.44,0,0,3,5,v South Africa,Potchefstroom,Away,07-Mar-20,55.6,5,4,5,0,0.555555556,,1,4,1,Loss,254,1,Dead/Flat,1,Clear,1.742908999,6.971635998
67,Out,67,88,76.13,9,0,3,5,v New Zealand,Sydney,Home,13-Mar-20,59.1,52,36,,,0.92,0.92,1.861111111,31,0.462686567,Win,258,1,Green,2,Sunny,2.50929039,168.1224561
6,Out,6,14,42.85,0,0,1,5,v England,Manchester,Away,11-Sep-20,71.4,10,4,7,2,0.642857143,,1.5,6,1,Win,294,1,Dusty/Dry,1.5,Overcast,1.901907144,11.41144287
6,Out,6,11,54.54,0,0,1,5,v England,Manchester,Away,13-Sep-20,63.6,7,4,8,1,0.818181818,,1.5,6,1,Loss,207,1,Green,2,Clear,2.266375406,13.59825244
24,Out,24,32,75,3,0,1,5,v England,Manchester,Away,16-Sep-20,65.6,21,11,20,,0.625,,2.181818182,12,0.5,Win,305,1,Dead/Flat,1,Clear,1.868245957,44.83790298
69,Out,69,76,90.78,6,0,2,5,v India,Sydney,Home,27-Nov-20,46.1,35,41,68,,0.894736842,,1.682926829,45,0.652173913,Win,374,1,Dead/Flat,1,Clear,2.446691838,168.8217368
83,Out,83,77,107.79,7,3,2,5,v India,Sydney,Home,29-Nov-20,46.8,36,41,62,2,0.831168831,,2.024390244,37,0.445783133,Win,389,1,Dead/Flat ,1,Clear,2.296000809,190.5680672
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clear,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunny,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clear,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overcast,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunny,,
